Комбинация дескриптор + алгоритм сопоставления;Количество соответствий;Коэффициент удачных соответствий;Коэффициент найденных точек;Время обработки;Среднее расстояние сопоставления;Косинусная схожесть
('ORB', 'BF_L2');500.0;0.022;1.0;0.698;1261.543;0.908
('ORB', 'NORM_HAMMING2');500.0;0.026;1.0;1.437;1251.814;0.867
('ORB', 'NORM_L2SQR');500.0;0.182;1.0;1.824;1261.543;0.908
('ORB', 'FLANN_LSH');500.0;0.092;1.0;1.785;1242.738;0.86
('FAST+ORB', 'BF_L2');14108.0;0.072;0.814;0.126;1679.021;0.943
('FAST+ORB', 'NORM_HAMMING2');14108.0;0.093;0.814;0.101;1687.406;0.902
('FAST+ORB', 'NORM_L2SQR');14108.0;0.227;0.814;0.165;1679.021;0.943
('FAST+ORB', 'FLANN_LSH');14108.0;0.113;0.814;0.193;1681.182;0.903
('FAST+BRISK', 'BF_L2');14323.0;0.152;0.814;0.343;1682.531;0.933
('FAST+BRISK', 'NORM_HAMMING2');14323.0;0.241;0.814;0.297;1677.763;0.916
('FAST+BRISK', 'NORM_L2SQR');14323.0;0.311;0.814;0.498;1682.531;0.933
('FAST+BRISK', 'FLANN_LSH');14323.0;0.257;0.814;0.296;1684.472;0.92
('KAZE', 'BF_L2');19673.0;0.03;0.835;36.312;1552.652;0.927
('KAZE', 'NORM_L2SQR');19673.0;0.121;0.835;20.898;1552.652;0.927
('KAZE', 'FLANN_KDTree');19673.0;0.046;0.835;25.033;1577.292;0.918
('KAZE', 'FLANN_KMeans');19673.0;0.03;0.835;22.54;1552.652;0.927
('AKAZE', 'BF_L2');17905.0;0.013;0.83;5.309;1656.791;0.896
('AKAZE', 'NORM_HAMMING2');17905.0;0.024;0.83;5.06;1627.351;0.857
('AKAZE', 'NORM_L2SQR');17905.0;0.104;0.83;4.636;1656.791;0.896
('AKAZE', 'FLANN_LSH');17905.0;0.036;0.83;4.424;1630.532;0.862
('GFTT+ORB', 'BF_L2');969.0;0.039;1.0;0.547;1503.424;0.91
('GFTT+ORB', 'NORM_HAMMING2');969.0;0.046;1.0;0.547;1530.711;0.864
('GFTT+ORB', 'NORM_L2SQR');969.0;0.209;1.0;0.548;1503.424;0.91
('GFTT+ORB', 'FLANN_LSH');969.0;0.078;1.0;0.545;1535.601;0.863
('GFTT+BRISK', 'BF_L2');994.0;0.044;1.0;0.562;1508.168;0.869
('GFTT+BRISK', 'NORM_HAMMING2');994.0;0.102;1.0;0.56;1504.612;0.845
('GFTT+BRISK', 'NORM_L2SQR');994.0;0.183;1.0;0.561;1508.168;0.869
('GFTT+BRISK', 'FLANN_LSH');994.0;0.122;1.0;0.558;1486.323;0.844
('SIFT', 'BF_L2');34424.0;0.119;0.891;5.644;1695.671;0.893
('SIFT', 'NORM_L2SQR');34424.0;0.257;0.891;5.793;1695.671;0.893
('SIFT', 'FLANN_KDTree');34424.0;0.139;0.891;5.783;1699.411;0.884
('SIFT', 'FLANN_KMeans');34424.0;0.119;0.891;5.762;1695.671;0.893
